FECHA,BW_purealpha,MAN_AHL,CASH,VARENNE
30/06/1992,-0.0400,,0.0040,
31/07/1992,-0.0350,,0.0040,
31/08/1992,-0.0280,,0.0040,
30/09/1992,0.1640,,0.0040,
31/10/1992,-0.0490,,0.0040,
30/11/1992,0.0500,,0.0040,
31/12/1992,-0.0100,,0.0040,
31/01/1993,-0.0120,,0.0040,
28/02/1993,-0.0120,,0.0040,
31/03/1993,-0.0130,,0.0040,
30/04/1993,0.0120,,0.0040,
31/05/1993,0.0120,,0.0040,
30/06/1993,0.0440,,0.0040,
31/07/1993,0.0100,,0.0040,
31/08/1993,0.0560,,0.0040,
30/09/1993,0.0320,,0.0040,
31/10/1993,0.0200,,0.0040,
30/11/1993,-0.0090,,0.0040,
31/12/1993,0.0290,,0.0040,
31/01/1994,0.0130,,0.0040,
28/02/1994,0.0020,,0.0040,
31/03/1994,0.0030,,0.0040,
30/04/1994,0.0110,,0.0040,
31/05/1994,0.0120,,0.0040,
30/06/1994,0.0040,,0.0040,
31/07/1994,0.0190,,0.0040,
31/08/1994,-0.0130,,0.0040,
30/09/1994,-0.0020,,0.0040,
31/10/1994,0.0090,,0.0040,
30/11/1994,0.0470,,0.0040,
31/12/1994,0.0090,,0.0040,
31/01/1995,0.0030,,0.0040,
28/02/1995,-0.0130,,0.0040,
31/03/1995,-0.0100,,0.0040,
30/04/1995,-0.0100,,0.0040,
31/05/1995,0.0000,,0.0040,
30/06/1995,-0.0300,,0.0040,
31/07/1995,0.0540,,0.0040,
31/08/1995,0.0320,,0.0040,
30/09/1995,-0.0270,,0.0040,
31/10/1995,0.0450,,0.0040,
30/11/1995,0.0340,,0.0040,
31/12/1995,0.0230,,0.0040,
31/01/1996,0.0590,,0.0040,
29/02/1996,-0.0220,,0.0040,
31/03/1996,-0.0090,,0.0040,
30/04/1996,0.0070,,0.0040,
31/05/1996,0.0070,,0.0040,
30/06/1996,0.0420,,0.0040,
31/07/1996,0.0110,,0.0040,
31/08/1996,-0.0030,,0.0040,
30/09/1996,0.0220,,0.0040,
31/10/1996,-0.0150,,0.0040,
30/11/1996,0.0650,,0.0040,
31/12/1996,-0.0060,,0.0040,
31/01/1997,0.0120,,0.0040,
28/02/1997,0.0660,,0.0040,
31/03/1997,-0.0240,,0.0040,
30/04/1997,0.0330,,0.0040,
31/05/1997,-0.0200,,0.0040,
30/06/1997,0.0190,,0.0040,
31/07/1997,0.0130,,0.0040,
31/08/1997,0.0010,,0.0040,
30/09/1997,0.0330,,0.0040,
31/10/1997,-0.0230,,0.0040,
30/11/1997,0.0500,,0.0040,
31/12/1997,0.0150,,0.0040,
31/01/1998,0.0630,,0.0040,
28/02/1998,0.0240,,0.0040,
31/03/1998,0.0180,,0.0040,
30/04/1998,-0.0010,,0.0040,
31/05/1998,-0.0100,,0.0040,
30/06/1998,0.0100,,0.0040,
31/07/1998,-0.0130,,0.0040,
31/08/1998,-0.0410,,0.0040,
30/09/1998,0.0310,,0.0040,
31/10/1998,0.1150,,0.0040,
30/11/1998,0.0130,,0.0040,
31/12/1998,0.0720,,0.0040,
31/01/1999,0.0050,,0.0040,
28/02/1999,0.0320,,0.0040,
31/03/1999,-0.0130,,0.0040,
30/04/1999,-0.0100,,0.0040,
