date,SPX,EEM,XAU,USTTEN,USDCOP
2020-10-07,1.0,0.0,1.0,1.0,1.0
2020-10-14,1.0,0.0,1.0,1.0,1.0
2020-10-21,1.0,0.0,1.0,1.0,1.0
2020-10-28,1.0,0.0,1.0,1.0,1.0
2020-11-04,1.0,0.0,1.0,1.0,1.0
2020-11-18,1.0,0.0,1.0,1.0,1.0
2020-11-25,0.0,1.0,1.0,1.0,1.0
2020-12-02,1.0,0.0,1.0,1.0,1.0
2020-12-09,1.0,0.0,1.0,1.0,1.0
2020-12-16,1.0,0.0,1.0,1.0,1.0
2020-12-23,1.0,0.0,1.0,1.0,1.0
2020-12-30,1.0,0.0,1.0,1.0,1.0
2021-01-06,1.0,0.0,1.0,1.0,1.0
2021-01-13,1.0,0.0,1.0,1.0,1.0
2021-01-20,1.0,0.0,1.0,1.0,1.0
2021-01-27,1.0,0.0,1.0,1.0,1.0
2021-02-03,1.0,0.0,1.0,1.0,1.0
2021-02-10,1.0,0.0,1.0,1.0,1.0
2021-02-17,1.0,0.0,1.0,1.0,1.0
2021-02-24,1.0,0.0,1.0,1.0,1.0
2021-03-03,1.0,0.0,1.0,1.0,1.0
2021-03-10,1.0,0.0,1.0,1.0,1.0
2021-03-17,1.0,0.0,1.0,1.0,1.0
2021-03-24,1.0,0.0,1.0,1.0,1.0
2021-03-31,1.0,0.0,1.0,1.0,1.0
2021-04-07,1.0,0.0,1.0,1.0,1.0
2021-04-14,1.0,0.0,1.0,1.0,1.0
2021-04-21,1.0,0.0,1.0,1.0,1.0
2021-04-28,1.0,0.0,1.0,1.0,1.0
2021-05-05,1.0,0.0,1.0,1.0,1.0
2021-05-12,1.0,0.0,1.0,1.0,1.0
2021-05-19,1.0,0.0,1.0,1.0,1.0
2021-05-26,0.0,1.0,1.0,1.0,1.0
2021-06-02,1.0,0.0,1.0,1.0,1.0
2021-06-09,1.0,0.0,1.0,1.0,1.0
2021-06-16,1.0,0.0,1.0,1.0,1.0
2021-06-23,1.0,0.0,1.0,1.0,1.0
2021-06-30,1.0,0.0,1.0,1.0,1.0
2021-07-07,1.0,0.0,1.0,1.0,1.0
2021-07-14,1.0,0.0,1.0,1.0,1.0
2021-07-21,0.0,1.0,1.0,1.0,1.0
2021-07-28,1.0,0.0,1.0,1.0,1.0
2021-08-04,1.0,0.0,1.0,1.0,1.0
2021-08-11,1.0,0.0,1.0,1.0,1.0
2021-08-18,1.0,0.0,1.0,1.0,1.0
2021-08-25,1.0,0.0,1.0,1.0,1.0
2021-09-01,1.0,0.0,1.0,1.0,1.0
2021-09-08,1.0,0.0,1.0,1.0,1.0
